,ID,Cardio_service,MMA_service,Cycling_service,HSI_unlimited,Total_Revenues_Package,Total_Discount_Promo,Duration,Observed,W,Province_Quebec
11851921,9500148892461825,1,1,1,1,224.49,36.0,490.0,False,460.0,0
15281228,9500220643111825,1,1,1,0,0.0,0.0,10.0,True,-17.0,0
15690642,9500248972131825,1,0,0,1,113.0,23.0,2.0,False,-28.0,0
14916982,9500208278421825,1,0,0,1,100.0,0.0,17.0,False,-13.0,0
9451667,9500123568341825,0,0,1,0,69.49,0.0,183.0,False,153.0,0
8485388,9500113747961825,1,0,1,0,112.45,0.0,228.0,False,198.0,0
18353523,9600067772001825,0,1,1,0,85.99000000000001,8.0,243.0,False,213.0,1
2787938,9500048818981825,1,0,1,1,170.49,32.0,101.0,False,71.0,0
19007658,9600085531531825,0,1,1,0,92.48,12.0,272.0,False,242.0,1
21409315,9600149417491825,1,1,1,0,105.43,0.0,151.0,False,121.0,1
